Date	Description	Shop	Amount	Memo	Executed Date	ConvertDeposited	Deposit Date	Executed By
25/09/25	CVT. To HO	Sandwich	-1700		25/09/25 15:33:08			
25/09/2025	Cash Wage	HO	-2300		25/09/2025 15:33:49			peter.kang@eatem.com.au
25/09/25	Cash Sales	Trading	1415		25/09/25 15:35:17			
25/09/2025	Corey wage back for Payslip	Meat	600		25/09/25 16:56:31			
26/09/25	Cash Sales	Meat	850		26/09/25 14:34:49			
26/09/25	Cash Sales	Trading	640		26/09/25 14:35:30			
26/09/25	CVT. From Trading	Meat	345		26/09/25 15:58:08			
26/09/25	CVT. To Meat	Trading	-345		26/09/25 15:58:08			
26/09/2025	Jeff Cash Wage	Meat	-1800		26/09/25 16:02:34			
07/10/25	Cash Sales	Trading	1900		07/10/25 18:09:54			
07/10/25	Cash Sales	Sandwich	3400		07/10/25 18:10:38			
07/10/25	Cash Sales	Sushi	6470		07/10/25 18:39:35			
07/10/25	Cash Sales	Trading	485		07/10/25 18:42:39			
07/10/25	Cash Sales	Sandwich	4700		07/10/25 19:24:13			
07/10/2025	Cash Wage	Sushi	-5810.91		07/10/2025 20:35:46			peter.kang@eatem.com.au
07/10/2025	Cash Wage	Sandwich	-5452.17		07/10/2025 20:45:29			peter.kang@eatem.com.au
07/10/25	CVT. From Sushi	HO	1700		07/10/25 20:46:06			
07/10/25	CVT. To HO	Sushi	-1700		07/10/25 20:46:06			
07/10/25	CVT. From Sandwich	HO	1700		07/10/25 20:46:06			
07/10/25	CVT. To HO	Sandwich	-1700		07/10/25 20:46:06			
07/10/2025	Cash Wage	HO	-3400		07/10/2025 20:46:23			peter.kang@eatem.com.au
07/10/25	CVT. From Sandwich	Trading	990		07/10/25 21:29:33			
07/10/25	CVT. To Trading	Sandwich	-990		07/10/25 21:29:33			
08/10/2025	Profit Sharing	Trading	-8170		08/10/25 18:05:44			
22/10/25	Cash Sales	Sandwich	4850	 	22/10/25 12:58:57			
22/10/25	Cash Sales	Sushi	7160		22/10/25 13:37:45			
22/10/25	CVT. From Sushi	Sandwich	849.55		22/10/25 13:46:24			
22/10/25	CVT. To Sandwich	Sushi	-849.55		22/10/25 13:46:24			
22/10/2025	Cash Wage	Sandwich	-5705.74		22/10/2025 13:46:55			peter.kang@eatem.com.au
22/10/2025	Cash Wage	Sushi	-6341		22/10/2025 14:06:35			peter.kang@eatem.com.au
22/10/2025	Adjustment 		112.21					
22/10/2025	Adjustment 		0.29					
22/10/2025	Adjustment 	sushi	-0.29					
27/10/2025	Sandwich Cash Convert	Sandwich	2500		27/10/25 14:35:58			
27/10/2025	Trading Sales	Trading	790		27/10/25 14:36:19			
03/11/2025	Meat Sales	Meat	3500		03/11/25 18:59:43			
03/11/25	CVT. From Meat	Sushi	1500		03/11/25 19:00:06			
03/11/25	CVT. To Sushi	Meat	-1500		03/11/25 19:00:06			
03/11/2025	Trading income	Trading	500		03/11/25 19:00:38			
03/11/25	CVT. From Meat	Sandwich	2000		03/11/25 19:01:08			
03/11/25	CVT. To Sandwich	Meat	-2000		03/11/25 19:01:08			
04/11/25	Cash Sales	Sushi	8165		04/11/25 13:06:54			
04/11/25	Cash Sales	Sandwich	5165		04/11/25 13:38:50			
04/11/2025	Cash Wage	Sushi	-6723.84		04/11/2025 15:55:24			peter.kang@eatem.com.au
04/11/2025	Cash Wage	Sandwich	-6648.56		04/11/2025 16:05:29			peter.kang@eatem.com.au
04/11/25	CVT. From Sushi	HO	1700		04/11/25 16:40:46			
04/11/25	CVT. To HO	Sushi	-1700		04/11/25 16:40:46			
04/11/25	CVT. From Sandwich	HO	1700		04/11/25 16:40:46			
04/11/25	CVT. To HO	Sandwich	-1700		04/11/25 16:40:46			
04/11/2025	Cash Wage	HO	-3400		04/11/2025 16:41:37			peter.kang@eatem.com.au
18/11/2025	Convert from Meat	Sandwich	3000		18/11/25 15:57:52			
18/11/2025	Convert from Meat	Sushi	2500		18/11/25 15:58:13			
18/11/2025	Trading Sales	Trading	250		18/11/25 15:59:14			
18/11/25	Cash Sales	Sandwich	4900		18/11/25 16:35:56			
18/11/25	Cash Sales	Sushi	8310		18/11/25 17:58:58			
19/11/2025	Cash Wage	Sushi	-7470		19/11/2025 18:15:23			peter.kang@eatem.com.au
19/11/2025	Cash Wage	Sandwich	-5147.66		19/11/2025 18:22:28			peter.kang@eatem.com.au
19/11/25	CVT. From Sushi	HO	1700		19/11/25 18:22:53			
19/11/25	CVT. To HO	Sushi	-1700		19/11/25 18:22:53			
19/11/25	CVT. From Sandwich	HO	1700		19/11/25 18:22:53			
19/11/25	CVT. To HO	Sandwich	-1700		19/11/25 18:22:53			
19/11/2025	Cash Wage	HO	-3400		19/11/2025 18:24:02			peter.kang@eatem.com.au
02/12/25	Cash Sales	Sandwich	4200		02/12/25 16:15:29			
02/12/2025	Cash Sales	Meat	3500		02/12/25 16:15:54			
02/12/25	CVT. From Meat	Sandwich	1500		02/12/25 16:16:14			
02/12/25	CVT. To Sandwich	Meat	-1500		02/12/25 16:16:14			
02/12/25	CVT. From Meat	Sushi	2000		02/12/25 16:16:31			
02/12/25	CVT. To Sushi	Meat	-2000		02/12/25 16:16:31			
02/12/25	Cash Sales	Sushi	7125		02/12/25 16:38:58			
02/12/2025	Cash Wage	Sushi	-6177.44		02/12/2025 16:49:58			peter.kang@eatem.com.au
02/12/2025	Cash Wage	Sandwich	-5955.57		02/12/2025 16:54:35			peter.kang@eatem.com.au
02/12/25	CVT. From Sushi	HO	1700		02/12/25 16:54:56			
02/12/25	CVT. To HO	Sushi	-1700		02/12/25 16:54:56			
02/12/25	CVT. From Sandwich	HO	1700		02/12/25 16:54:56			
02/12/25	CVT. To HO	Sandwich	-1700		02/12/25 16:54:56			
02/12/2025	Director profit share_ Sue	Sushi	-700		02/12/25 16:55:58			
02/12/2025	Cash Wage	HO	-3400		02/12/2025 17:05:45			peter.kang@eatem.com.au
08/12/2025	Cash Convert	Sushi	2000		16/12/25 15:39:54			
08/12/2025	Cash Convert	Sandwich	1000		16/12/25 15:40:08			
16/12/25	Cash Sales	Sushi	7570		16/12/25 16:12:02			
16/12/25	Cash Sales	Sandwich	4170		16/12/25 16:32:00			
16/12/2025	Cash Wage	Sushi	-7608.4		16/12/2025 21:46:49			peter.kang@eatem.com.au
16/12/25	CVT. From Sushi	Sandwich	1350.6		16/12/25 21:55:54			
16/12/25	CVT. To Sandwich	Sushi	-1350.6		16/12/25 21:55:54			
16/12/2025	Cash Wage	Sandwich	-6933.8		16/12/2025 22:00:53			peter.kang@eatem.com.au
16/12/2025	Trading convert from Meat	Trading	1500		16/12/25 22:02:10			
16/12/2025	trading profit sharing	Trading	-3000		16/12/25 22:02:51			
16/12/2025	Profit sharing _ Sue	Sushi	-600		16/12/25 22:03:59			
16/12/25	CVT. From Sushi	HO	3400		16/12/25 22:04:16			
16/12/25	CVT. To HO	Sushi	-3400		16/12/25 22:04:16			
16/12/2025	Cash Wage	HO	-3400		16/12/2025 22:04:31			peter.kang@eatem.com.au
16/12/2025	Cash Convert from Meat	Sandwich	1000		16/12/25 22:39:06			
18/12/25	CVT. From Sandwich	Sushi	1000		18/12/25 12:24:27			
18/12/25	CVT. To Sushi	Sandwich	-1000		18/12/25 12:24:27			
30/12/2025	Cash Convert	Sushi	2000		30/12/25 13:44:35			
30/12/2025	Cash Convert	Sandwich	2000		30/12/25 13:44:49			
23/12/2025	Cash convert	Sushi	1500		30/12/25 13:45:14			
23/12/2025	Cash Convert	Sandwich	2000		30/12/25 13:45:33			
30/12/25	Cash Sales	Sandwich	3540		30/12/25 14:52:06			
30/12/25	Cash Sales	Sushi	5375		30/12/25 15:15:53			
31/12/2025	Cash Wage	Sandwich	-5699		31/12/2025 09:27:01			peter.kang@eatem.com.au
31/12/2025	Cash Wage	Sushi	-5417					peter.kang@eatem.com.au
31/12/25	CVT. From Sushi	HO	1700		31/12/25 10:07:10			
31/12/25	CVT. To HO	Sushi	-1700		31/12/25 10:07:10			
31/12/25	CVT. From Sandwich	HO	1700		31/12/25 10:07:10			
31/12/25	CVT. To HO	Sandwich	-1700		31/12/25 10:07:10			
31/12/2025	Cash Wage	HO	-3400		31/12/2025 10:07:33			peter.kang@eatem.com.au
13/01/2026	trading sale	Trading	370		13/01/26 16:25:11			
07/01/2026	Trading Sales	Trading	2060		13/01/26 16:25:55			
07/01/2026	Cash convert	Sushi	1000		13/01/26 16:26:16			
07/01/2026	Cash Convert	Sandwich	1000		13/01/26 16:26:43			
13/07/2026	Cash Convert	Sushi	2000		13/01/26 16:27:11			
13/01/2026	Cash Convert	Sandwich	1000		13/01/26 16:27:36			
13/01/26	Cash Sales	Sandwich	3250		13/01/26 16:55:21			
13/01/26	Cash Sales	Sushi	4150		13/01/26 17:05:27			
13/01/2026	Cash Wage	Sandwich	-3832.4		13/01/2026 17:12:25			peter.kang@eatem.com.au
13/01/2026	Cash Wage	Sushi	-5377.5		13/01/2026 17:15:11			peter.kang@eatem.com.au
13/01/26	CVT. From Sushi	HO	1900		13/01/26 17:15:53			
13/01/26	CVT. To HO	Sushi	-1900		13/01/26 17:15:53			
13/01/26	CVT. From Sandwich	HO	1500		13/01/26 17:15:53			
13/01/26	CVT. To HO	Sandwich	-1500		13/01/26 17:15:53			
13/01/2026	Cash Wage	HO	-3400		13/01/2026 17:16:10			peter.kang@eatem.com.au
19/01/2026	Karma Profit share	Sushi	-250		19/01/26 09:32:50			
19/01/2026	Angy missed cash wage	Sandwich	-450		19/01/26 09:33:18			
27/01/2026	Cash Convert	Sushi	2000		27/01/26 14:45:28			
27/01/2026	Cash Convert	Sandwich	2000		27/01/26 14:45:50			
27/01/26	Cash Sales	Sandwich	3640		27/01/26 15:24:19			
27/01/26	Cash Sales	Sushi	3615		27/01/26 15:47:37			
28/01/2026	Cash Wage	Sushi	-4553.8		28/01/2026 13:29:29			peter.kang@eatem.com.au
28/01/26	CVT. From Sushi	Sandwich	500		28/01/26 13:34:39			
28/01/26	CVT. To Sandwich	Sushi	-500		28/01/26 13:34:39			
28/01/2026	Cash Wage	Sandwich	-5728.4		28/01/2026 13:39:14			peter.kang@eatem.com.au
28/01/26	CVT. From Sushi	HO	2980		28/01/26 13:40:56			
28/01/26	CVT. To HO	Sushi	-2980		28/01/26 13:40:56			
28/01/26	CVT. From Sandwich	HO	20		28/01/26 13:40:56			
28/01/26	CVT. To HO	Sandwich	-20		28/01/26 13:40:56			
28/01/2026	Cash Wage	HO	-3000		28/01/2026 13:43:00			peter.kang@eatem.com.au
28/01/2026	Dawa Missed Wage	Sushi	-925		28/01/26 14:21:11			
10/02/2026	Cash Convert	Trading	7000		10/02/26 13:46:56			
10/02/2026	Cash Convert	Sushi	2000		10/02/26 13:48:01			
10/02/2026	Cash Convert	Sandwich	1000		10/02/26 13:48:20			
10/02/26	Cash Sales	Sushi	5700		10/02/26 14:06:58			
10/02/26	Cash Sales	Sandwich	3765		10/02/26 14:20:24			
10/02/2026	Cash Wage	Sushi	-5620.5		10/02/2026 14:29:51			peter.kang@eatem.com.au
10/02/2026	Cash Wage	Sandwich	-4696.4		10/02/2026 14:40:28			peter.kang@eatem.com.au
10/02/26	CVT. From Trading	Sushi	600		10/02/26 14:42:49			
10/02/26	CVT. To Sushi	Trading	-600		10/02/26 14:42:49			
10/02/26	CVT. From Trading	Sandwich	1600		10/02/26 14:45:50			
10/02/26	CVT. To Sandwich	Trading	-1600		10/02/26 14:45:50			
10/02/26	CVT. From Sushi	HO	1755		10/02/26 14:46:30			
10/02/26	CVT. To HO	Sushi	-1755		10/02/26 14:46:30			
10/02/26	CVT. From Sandwich	HO	1645		10/02/26 14:46:30			
10/02/26	CVT. To HO	Sandwich	-1645		10/02/26 14:46:30			
10/02/2026	Cash Wage	HO	-3400		10/02/2026 14:46:43			peter.kang@eatem.com.au
17/02/2026	trading cash sales	Trading	4700		17/02/26 21:27:01			
17/02/2026	Cash Convert from Meat	Trading	4000		17/02/26 21:27:38			
17/02/2026	Trading Cash Sales	Trading	330		17/02/26 21:28:32			
24/02/26	Cash Sales	Sandwich	4350		24/02/26 14:45:07			
24/02/26	Cash Sales	Sushi	6615		24/02/26 15:00:30			
24/02/2026	Cash Wage	Sushi	-6710.3		24/02/2026 21:54:06			peter.kang@eatem.com.au
24/02/2026	Cash Wage	Sandwich	-5608.1		24/02/2026 22:14:56			peter.kang@eatem.com.au
24/02/26	CVT. From Trading	Sushi	2000		24/02/26 22:17:41			
24/02/26	CVT. To Sushi	Trading	-2000		24/02/26 22:17:41			
24/02/26	CVT. From Trading	Sandwich	2500		24/02/26 22:18:07			
24/02/26	CVT. To Sandwich	Trading	-2500		24/02/26 22:18:07			
24/02/26	CVT. From Sushi	HO	1900		24/02/26 22:18:29			
24/02/26	CVT. To HO	Sushi	-1900		24/02/26 22:18:29			
24/02/26	CVT. From Sandwich	HO	1260		24/02/26 22:18:29			
24/02/26	CVT. To HO	Sandwich	-1260		24/02/26 22:18:29			
24/02/2026	Cash Wage	HO	-3160		24/02/2026 22:19:06			peter.kang@eatem.com.au
24/02/2026	Profit _ PK	Trading	-1500		24/02/26 23:03:36			
